vehicle_id,field,value_status,source_name,source_url,effective_date,units,notes
epa-48055,annual_insurance_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,USD per year,Category average scaled by vehicle price; not specific to this model.
epa-48055,annual_registration_fees_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,USD per year,Category average scaled by vehicle price; not specific to this model.
epa-48526,purchase_price_usd,Derived,Hedonic price model on curated manufacturer MSRPs,,2025-09-16,USD,"80% interval $42,091-$67,323"
epa-48526,annual_depreciation_rate,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,fraction per year,Category average scaled by vehicle price; not specific to this model.
epa-48526,annual_maintenance_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,"USD per year at 15,000 mi/yr","Stated at 15,000 mi/yr; half is rescaled to the annual mileage in use. Category average, not specific to this model."
epa-48526,annual_insurance_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,USD per year,Category average scaled by vehicle price; not specific to this model.
epa-48526,annual_registration_fees_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,USD per year,Category average scaled by vehicle price; not specific to this model.
epa-48161,purchase_price_usd,Derived,Hedonic price model on curated manufacturer MSRPs,,2025-09-16,USD,"80% interval $39,821-$65,699"
epa-48161,annual_depreciation_rate,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,fraction per year,Category average scaled by vehicle price; not specific to this model.
epa-48161,annual_maintenance_usd,Derived,AAA Your Driving Costs 2025,https://newsroom.aaa.com/wp-content/uploads/2025/09/AAA-Brochure-Your-Driving-Cost-9.2025.pdf,2025-09-16,"USD per year at 15,000 mi/yr","Stated at 15,000 mi/yr; half is rescaled to the annual mileage in use. Category average, not specific to this model."
